,id,content,pseudo_label,bert-embedding
0,5.67872182136619e+17,@united how else would I know it was denied?,neg,-0.009513357654213905
1,5.6787213674585286e+17,@united obviously,neu,-0.008039352484047413
2,5.678720778997637e+17,@JetBlue my SIL bought tix for us to NYC. We were told at the gate that her cc was declined. Supervisor accused us of illegal activity.,neg,-0.011046575382351875
3,5.6787204403091866e+17,@JetBlue dispatcher keeps yelling and hung up on me!,neg,-0.01008058525621891
4,5.678719119606456e+17,@JetBlue now when I call it's still at the warehouse and might be going out tonight,neg,-0.011257615871727467
5,5.6787178310745286e+17,@JetBlue they couldn't do it sun then it was supposed to be mon after 6pm then today from 11 to 3 then from 6 to 8,neg,-0.011321504600346088
6,5.678717801880617e+17,"@united You allow shady 3rd party services to sell your tickets and then refuse to help the customer, who's left holding the bag.
#flyunited",neg,-0.011155898682773113
7,5.6787143958543565e+17,@united Hours on the phone...hung up on...all I want is to be on a different flight (same day) that has an open seat. #greatservice,neg,-0.01282491348683834
8,5.6787127001402566e+17,@SouthwestAir Why won't you let me leave Newark!?,neg,-0.010031995363533497
9,5.678711682141061e+17,"@USAirways Your whole handling of this was a joke.Boston Logan had one little old lady,ONE handling all the customers http://t.co/DH2rfUIJYP",neg,-0.012241428717970848
10,5.6787089538301536e+17,"@SouthwestAir Hey yea I got thru...everything is good now (well, in 7-10 days when the voucher goes through)  Appreciate it!",pos,-0.01245572417974472
11,5.67870608152793e+17,@united which now has maintenance issues with an undetermined amount of time until the mechanics even arrive,neg,-0.009917207062244415
12,5.678703115399332e+17,"@SouthwestAir I was in Nashville and I had to drive 3 and a half hours to Memphis, but I made it as the plane was loading!",neg,-0.012150568887591362
13,5.6787004598192954e+17,"@SouthwestAir According to TV passenger interviews, the landing was far from ""uneventful"" with heavy (panic) breaking to",neg,-0.010777420364320278
14,5.6786996280047206e+17,@JetBlue flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold,neg,-0.010746006853878498
15,5.678695440494141e+17,@united I sent an email describing my experience. Looking forward to a follow up to hopefully make it right.,neu,-0.011615320108830929
16,5.678694560488653e+17,@SouthwestAir can you outline the policies for both scenarios?,neu,-0.009378207847476006
17,5.6786927310995866e+17,@SouthwestAir who should I contact about a missing Rapid Rewards credit?,neu,-0.009670848026871681
18,5.678691910022636e+17,@SouthwestAir what are the chances you will be Cancelled Flighting all flights in and out of Nashville again?,neg,-0.010765389539301395
19,5.678690096616653e+17,"@united be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",pos,-0.01113011222332716
20,5.6786880858662086e+17,@united @annricord $856.81 the cost of one of the round trip tickets.,neg,-0.010355292819440365
